Alue	Tielaji	Osallinen el‰inlaji	Kuukausi	Tiedot	Riistaonnettomuudet
MK01 Uusimaa	Yhteens‰	Villisika	2020M01	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Villisika	2020M02	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Villisika	2020M03	Lukum‰‰r‰	2
MK01 Uusimaa	Yhteens‰	Villisika	2020M04	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Villisika	2020M05	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Villisika	2020M06	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Villisika	2020M07	Lukum‰‰r‰	3
MK01 Uusimaa	Yhteens‰	Villisika	2020M08	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Villisika	2020M09	Lukum‰‰r‰	3
MK01 Uusimaa	Yhteens‰	Villisika	2020M10	Lukum‰‰r‰	1
MK01 Uusimaa	Yhteens‰	Villisika	2020M11	Lukum‰‰r‰	1
MK01 Uusimaa	Yhteens‰	Villisika	2020M12	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Kuusipeura	2020M01	Lukum‰‰r‰	4
MK01 Uusimaa	Yhteens‰	Kuusipeura	2020M02	Lukum‰‰r‰	1
MK01 Uusimaa	Yhteens‰	Kuusipeura	2020M03	Lukum‰‰r‰	2
MK01 Uusimaa	Yhteens‰	Kuusipeura	2020M04	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Kuusipeura	2020M05	Lukum‰‰r‰	1
MK01 Uusimaa	Yhteens‰	Kuusipeura	2020M06	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Kuusipeura	2020M07	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Kuusipeura	2020M08	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Kuusipeura	2020M09	Lukum‰‰r‰	1
MK01 Uusimaa	Yhteens‰	Kuusipeura	2020M10	Lukum‰‰r‰	3
MK01 Uusimaa	Yhteens‰	Kuusipeura	2020M11	Lukum‰‰r‰	3
MK01 Uusimaa	Yhteens‰	Kuusipeura	2020M12	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Mets‰kauris	2020M01	Lukum‰‰r‰	67
MK01 Uusimaa	Yhteens‰	Mets‰kauris	2020M02	Lukum‰‰r‰	37
MK01 Uusimaa	Yhteens‰	Mets‰kauris	2020M03	Lukum‰‰r‰	37
MK01 Uusimaa	Yhteens‰	Mets‰kauris	2020M04	Lukum‰‰r‰	62
MK01 Uusimaa	Yhteens‰	Mets‰kauris	2020M05	Lukum‰‰r‰	184
MK01 Uusimaa	Yhteens‰	Mets‰kauris	2020M06	Lukum‰‰r‰	84
MK01 Uusimaa	Yhteens‰	Mets‰kauris	2020M07	Lukum‰‰r‰	64
MK01 Uusimaa	Yhteens‰	Mets‰kauris	2020M08	Lukum‰‰r‰	69
MK01 Uusimaa	Yhteens‰	Mets‰kauris	2020M09	Lukum‰‰r‰	75
MK01 Uusimaa	Yhteens‰	Mets‰kauris	2020M10	Lukum‰‰r‰	102
MK01 Uusimaa	Yhteens‰	Mets‰kauris	2020M11	Lukum‰‰r‰	113
MK01 Uusimaa	Yhteens‰	Mets‰kauris	2020M12	Lukum‰‰r‰	71
MK01 Uusimaa	Yhteens‰	Hirvi	2020M01	Lukum‰‰r‰	11
MK01 Uusimaa	Yhteens‰	Hirvi	2020M02	Lukum‰‰r‰	2
MK01 Uusimaa	Yhteens‰	Hirvi	2020M03	Lukum‰‰r‰	4
MK01 Uusimaa	Yhteens‰	Hirvi	2020M04	Lukum‰‰r‰	7
MK01 Uusimaa	Yhteens‰	Hirvi	2020M05	Lukum‰‰r‰	7
MK01 Uusimaa	Yhteens‰	Hirvi	2020M06	Lukum‰‰r‰	9
MK01 Uusimaa	Yhteens‰	Hirvi	2020M07	Lukum‰‰r‰	10
MK01 Uusimaa	Yhteens‰	Hirvi	2020M08	Lukum‰‰r‰	16
MK01 Uusimaa	Yhteens‰	Hirvi	2020M09	Lukum‰‰r‰	22
MK01 Uusimaa	Yhteens‰	Hirvi	2020M10	Lukum‰‰r‰	17
MK01 Uusimaa	Yhteens‰	Hirvi	2020M11	Lukum‰‰r‰	13
MK01 Uusimaa	Yhteens‰	Hirvi	2020M12	Lukum‰‰r‰	10
