Date,AnswerCount
 01/01/2022,0
 01/02/2022,0
 01/03/2022,0
 01/04/2022,0
 01/05/2022,1
 01/06/2022,0
 01/07/2022,0
 01/08/2022,0
 01/09/2022,0
 01/10/2022,4
 01/11/2022,0
 01/12/2022,2
 01/13/2022,1
 01/14/2022,8
 01/15/2022,0
 01/16/2022,0
 01/17/2022,2
 01/18/2022,1
 01/19/2022,2
 01/20/2022,6
 01/21/2022,0
 01/22/2022,0
 01/23/2022,0
 01/24/2022,3
 01/25/2022,3
 01/26/2022,0
 01/27/2022,4
 01/28/2022,2
 01/29/2022,0
 01/30/2022,0
 01/31/2022,4
 02/01/2022,1
 02/02/2022,0
 02/03/2022,0
 02/04/2022,2
 02/05/2022,0
 02/06/2022,0
 02/07/2022,2
 02/08/2022,0
 02/09/2022,1
 02/10/2022,2
 02/11/2022,2
 02/12/2022,0
 02/13/2022,0
 02/14/2022,3
 02/15/2022,6
 02/16/2022,2
 02/17/2022,2
 02/18/2022,4
 02/19/2022,0
 02/20/2022,0
 02/21/2022,0
 02/22/2022,4
 02/23/2022,1
 02/24/2022,2
 02/25/2022,5
 02/26/2022,0
 02/27/2022,0
 02/28/2022,6
 03/01/2022,1
 03/02/2022,1
 03/03/2022,0
 03/04/2022,1
 03/05/2022,0
 03/06/2022,0
 03/07/2022,2
 03/08/2022,0
 03/09/2022,1
 03/10/2022,5
 03/11/2022,3
 03/12/2022,0
 03/13/2022,0
 03/14/2022,4
 03/15/2022,11
 03/16/2022,4
 03/17/2022,6
 03/18/2022,2
 03/19/2022,0
 03/20/2022,0
 03/21/2022,0
 03/22/2022,3
 03/23/2022,1
 03/24/2022,2
 03/25/2022,2
 03/26/2022,0
 03/27/2022,0
 03/28/2022,1
 03/29/2022,0
 03/30/2022,1
 03/31/2022,8
 04/01/2022,2
 04/02/2022,0
 04/03/2022,0
 04/04/2022,0
 04/05/2022,0
 04/06/2022,1
 04/07/2022,2
 04/08/2022,3
 04/09/2022,0
 04/10/2022,0
 04/11/2022,0
 04/12/2022,1
 04/13/2022,5
 04/14/2022,9
 04/15/2022,0
 04/16/2022,0
 04/17/2022,0
 04/18/2022,0
 04/19/2022,4
 04/20/2022,1
