source;target;N
0;30;250
1;30;22
2;30;5
3;30;10
4;30;34
5;30;5
6;30;13
7;30;4
8;30;4
9;30;7
10;30;5
11;30;7
12;30;3
13;30;78
14;30;4
15;30;13
16;30;2
17;30;7
18;30;59
0;29;136
1;29;18
2;29;2
3;29;5
4;29;15
5;29;11
6;29;8
7;29;2
8;29;2
9;29;7
10;29;7
11;29;7
12;29;5
13;29;1
14;29;0
15;29;8
16;29;0
17;29;7
18;29;0
0;28;1008
1;28;92
2;28;26
3;28;17
4;28;262
5;28;42
6;28;21
7;28;7
8;28;14
9;28;18
10;28;20
11;28;49
12;28;8
13;28;23
14;28;3
15;28;74
16;28;3
17;28;31
18;28;4
0;27;612
1;27;68
2;27;15
3;27;15
4;27;94
5;27;39
6;27;17
7;27;10
8;27;8
9;27;29
10;27;20
11;27;48
12;27;14
13;27;18
14;27;7
15;27;62
16;27;8
17;27;17
18;27;6
0;26;287
1;26;14
2;26;3
3;26;14
4;26;38
5;26;0
6;26;2
7;26;5
8;26;0
9;26;6
10;26;5
11;26;16
12;26;1
13;26;3
14;26;0
15;26;14
16;26;1
17;26;7
18;26;0
0;25;5850
1;25;810
2;25;273
3;25;243
4;25;757
5;25;243
6;25;248
7;25;142
8;25;93
9;25;163
10;25;210
11;25;271
12;25;167
13;25;474
14;25;50
15;25;391
16;25;54
17;25;274
18;25;353
19;18;581
20;18;8
21;18;24
22;18;20
23;18;0
24;18;0
19;17;476
20;17;92
21;17;31
22;17;143
23;17;13
24;17;13
19;16;189
20;16;29
21;16;7
22;16;37
23;16;2
24;16;4
19;15;756
20;15;159
21;15;87
22;15;408
23;15;8
24;15;26
19;14;114
20;14;27
21;14;5
22;14;49
23;14;5
24;14;2
19;13;741
20;13;151
21;13;35
22;13;457
23;13;10
24;13;12
19;12;393
20;12;11
21;12;33
22;12;68
23;12;3
24;12;3
19;11;541
20;11;108
21;11;81
22;11;238
23;11;11
24;11;11
19;10;520
20;10;32
21;10;30
22;10;111
23;10;3
24;10;3
19;9;428
20;9;56
21;9;49
22;9;188
23;9;11
24;9;13
19;8;254
20;8;40
21;8;11
22;8;88
23;8;0
24;8;9
19;7;373
20;7;32
21;7;22
22;7;151
23;7;4
24;7;3
19;6;432
20;6;81
21;6;36
22;6;156
23;6;5
24;6;17
19;5;490
20;5;25
21;5;35
22;5;179
23;5;3
24;5;18
19;4;1257
20;4;151
21;4;164
22;4;596
23;4;40
24;4;20
19;3;339
20;3;59
21;3;41
22;3;118
23;3;4
24;3;3
19;2;672
20;2;24
21;2;39
22;2;213
23;2;7
24;2;33
19;1;1800
20;1;149
21;1;149
22;1;501
23;1;25
24;1;47
19;0;9871
20;0;936
21;0;1060
22;0;4019
23;0;198
24;0;233
